DATE,Retail_Sales
1/7/2018,9788
1/8/2018,10081
1/9/2018,8951
1/10/2018,9104
1/11/2018,8656
1/12/2018,8376
1/1/2019,8828
1/2/2019,9675
1/3/2019,11856
1/4/2019,10345
1/5/2019,10549
1/6/2019,10078
1/7/2019,10255
1/8/2019,10357
1/9/2019,9404
1/10/2019,9696
1/11/2019,9355
1/12/2019,8669
1/1/2020,8971
1/2/2020,10567
1/3/2020,9314
1/4/2020,6395
1/5/2020,1243
1/6/2020,9876
1/7/2020,8765
1/8/2020,4532
1/9/2020,3452
1/10/2020,2354
1/11/2020,2432
1/12/2020,2076
